Annova gene	Phenotype MIM number
PEX2	"过氧化物酶体生物合成障碍5A(614866,AR);过氧化物酶体生物合成障碍5B(614867,AR)"
CIB2	"亚瑟综合征1J型(614869,AR)"
PEX10	"过氧化物酶体生物合成障碍6A(614870,AR);过氧化物酶体生物合成障碍6B(614871,AR)"
PEX26	"过氧化物酶体生物合成障碍7A(614872,AR);过氧化物酶体生物合成障碍7B(614873,AR)"
PEX16	"过氧化物酶体生物合成障碍8A(614876,AR);过氧化物酶体生物合成障碍8B(614877,AR)"
PEX3	"过氧化物酶体生物合成障碍10A(614882,AR);过氧化物酶体生物合成障碍10B(617370,AR)"
PEX13	"过氧化物酶体生物合成障碍11A(614883,AR);过氧化物酶体生物合成障碍11B(614885,AR)"
PEX19	"过氧化物酶体生物合成障碍12A(614886,AR)"
PEX14	"过氧化物酶体生物合成障碍13A(614887,AR)"
VPS37A	"痉挛性截瘫53型(614898,AR)"
PEX11B	"过氧化物酶体生物合成障碍14B(614920,AR)"
无	"外胚层发育不良5型，头发/指甲型(614927,AR)"
无	"外胚层发育不良6型，头发/指甲型(614928,AR)"
KRT74	"外胚层发育不良7型，头发/指甲型(614929,AR)"
HOXC13	"外胚层发育不良9型，头发/指甲型(614931,AR)"
EDARADD	"外胚层发育不良11A型，少汗/头发/牙齿型(614940,AD);外胚层发育不良11B型，少汗/头发/牙齿型(614941,AR)"
KCNT1	"婴儿早期癫痫性脑病14型(614959,AD)"
CHMP1A	"脑桥小脑发育不全8型(614961,AR)"
TOE1	"脑桥小脑发育不全7型(614969,AR)"
TMEM231	"Joubert综合征20型(614970,AR);Meckel综合征11型(615397,AR)"
ST3GAL3	"婴儿早期癫痫性脑病15型(615006,AR)"
PACS1	"Schuurs-Hoeijmakers综合征(615009,AD)"
无	"先天性鱼鳞病AR7型(615022,AR)"
CERS3	"先天性鱼鳞病AR9型(615023,AR)"
PNPLA1	"先天性鱼鳞病AR10型(615024,AR)"
CYP2U1	"痉挛性截瘫56型(615030,AR)"
TECPR2	"痉挛性截瘫49型(615031,AR)"
DDHD2	"痉挛性截瘫54型(615033,AR)"
C12orf65	"痉挛性截瘫55型(615035,AR)"
TMEM5	"肌-眼-脑病A10型(615041,AR)"
LRIT3	"先天性静止性夜盲AR1F型(615058,AR)"
CTNNB1	"精神发育迟滞AD19型(615075,AD);家族性渗出性玻璃体视网膜病变(617572,AD)"
SNX10	"骨硬化病AR8型(615085,AR)"
ZNF335	"小头症10型(615095,AR)"
ALDH1A3	"单纯性小眼球8型(615113,AR)"
AGRN	"先天性肌无力综合征8型(615120,AR)"
TENM3	"小眼球伴眼组织缺损9型(615145,AR)"
RBP4	"视网膜变性-虹膜缺损-粉刺痤疮综合征(615147,AR);小眼球伴眼组织缺损10型(616428,AD)"
DNA2	"进行性眼外肌麻痹AD6型(615156,AD)"
C10orf11	"眼皮肤白化病7型(615179,AR)"
B3GALNT2	"肌-眼-脑病A11型(615181,AR)"
CRYGB	"白内障39型(615188,AD)"
RTEL1	"先天性角化不良症AR5型(615190,AR);先天性角化不良症AD4型(615190,AD)"
PIK3R5	"共济失调伴眼运动失用症3型(615217,AR)"
RBP3	"视网膜色素变性66型(615233,AR)"
POMK	"肌-眼-脑病A12型(615249,AR);肌-眼-脑病C12型(616094,AR)"
MIP	"白内障15型(615274,AD)"
LIM2	"白内障19型(615277,AR)"
ADAT3	"精神发育迟滞36型(615286,AR)"
B4GAT1	"肌-眼-脑病A13型(615287,AR)"
IBA57	"多发性线粒体功能障碍综合征3型(615330,AR);痉挛性截瘫74型(616451,AR)"
TBC1D24	"婴儿早期癫痫性脑病16型(615338,AR)"
GMPPB	"肌-眼-脑病A14型(615350,AR);肌-眼-脑病B14型(615351,AR);肌-眼-脑病C14型(615352,AR)"
RIT1	"Noonan综合征8型(615355,AD)"
RAB28	"视杆视锥营养不良18型(615374,AR)"
ANKS6	"肾单位肾痨16型(615382,AR)"
PHC1	"小头症11型(615414,AR)"
PRIMPOL	"近视22型(615420,AD)"
LRPAP1	"近视23型(615431,AR)"
ARL2BP	"视网膜色素变性伴或不伴有内脏反位(615434,AR)"
CFI	"老年性黄斑变性13(615439,AD)"
ADAMTS18	"小角膜-近视性脉络膜视网膜炎伴内眦距过宽(615458,AR)"
GNAO1	"婴儿早期癫痫性脑病17型(615473,AD)"
SZT2	"婴儿早期癫痫性脑病18型(615476,AR)"
C2	"老年性黄斑变性14(615489,/)"
CFB	"老年性黄斑变性14(615489,/)"
UCHL1	"痉挛性截瘫79型(615491,AR)"
GPHN	"钼辅酶缺乏症C型(615501,AR)"
GDF2	"遗传性出血性毛细血管扩张症5型(615506,AD)"
HERC2	"精神发育迟滞38型(615516,AR)"
AGBL1	"角膜内皮营养不良Fuchs8型(615523,AD)"
RARB	"综合征性小眼球12型(615524,AD,?AR)"
TTI2	"精神发育迟滞AR39型(615541,AR)"
NEK2	"视网膜色素变性67型(615565,AR)"
SFXN4	"联合氧化磷酸化缺乏症18型(615578,AR)"
C9	"老年性黄斑变性15(615591,AD)"
REEP2	"痉挛性截瘫72型(615625,AR,?AD)"
CSPP1	"Joubert综合征21型(615636,AR)"
COASY	"伴脑内铁沉积神经退行性病变6型(615643,AR)"
TFG	"痉挛性截瘫57型(615658,AR)"
TBC1D20	"Warburg?micro综合征4型(615663,AR)"
PDE6D	"Joubert综合征22型(615665,AR)"
ERLIN1	"痉挛性截瘫62型(615681,AR)"
ENTPD1	"痉挛性截瘫64型(615683,AR)"
ARL6IP1	"痉挛性截瘫61型(615685,AR)"
AMPD2	"痉挛性截瘫63型(615686,AR);脑桥小脑发育不全9型(615809,AR)"
RUBCN	"脊髓小脑共济失调AR15型(615705,AR)"
NR2F1	"Bosch-Boonstra-Schaaf视神经萎缩综合征(615722,AD)"
SLC7A14	"视网膜色素变性68型(615725,AR)"
GABRA1	"婴儿早期癫痫性脑病19型(615744,AD)"
STUB1	"脊髓小脑共济失调AR16型(615768,AR)"
KIZ	"视网膜色素变性69型(615780,AR)"
CLP1	"脑桥小脑发育不全10型(615803,AR)"
DEAF1	"精神发育迟滞AD24型(615828,AD)"
NECAP1	"婴儿早期癫痫性脑病21型(615833,AR)"
VPS53	"脑桥小脑发育不全2E型(615851,AR)"
DOCK7	"婴儿早期癫痫性脑病23型(615859,AR)"
TTLL5	"视杆视锥营养不良19型(615860,AR)"
CEP83	"肾单位肾痨18型(615862,AR)"
SOX11	"精神发育迟滞AD27型(615866,AD)"
HCN1	"婴儿早期癫痫性脑病24型(615871,AD)"
MAB21L2	"综合征性小眼球14型(615877,AR,?AD)"
SLC13A5	"婴儿早期癫痫性脑病25型(615905,AR)"
PCNA	"共济失调-毛细血管扩张样病症2型(615919,AR)"
PRPF4	"视网膜色素变性70型(615922,AD)"
ARNT2	"Webb-Dattani综合征(615926,AR)"
DAB1	"脊髓小脑共济失调37型(615945,AD)"
SLC39A5	"近视24型(615946,AD)"
C2CD3	"口面指综合征14型(615948,AR)"
ELOVL5	"脊髓小脑共济失调38型(615957,AD)"
LAMA1	"Poretti Boltshauser综合征(615960,AR)"
POC1B	"视杆视锥营养不良20型(615973,AR)"
BBS2	"Bardet-Biedl综合征2型(615981,AR);视网膜色素变性74型(616562,AR)"
BBS4	"Bardet-Biedl综合征4型(615982,AR)"
BBS5	"Bardet-Biedl综合征5型(615983,AR)"
BBS7	"Bardet-Biedl综合征7型(615984,AR)"
BBS9	"Bardet-Biedl综合征9型(615986,AR)"
BBS10	"Bardet-Biedl综合征10型(615987,AR)"
TRIM32	"Bardet-Biedl综合征11型(615988,AR)"
BBS12	"Bardet-Biedl综合征12型(615989,AR)"
WDPCP	"Bardet-Biedl综合征15型(615992,AR)"
LZTFL1	"Bardet-Biedl综合征17型(615994,AR)"
BBIP1	"Bardet-Biedl综合征18型(615995,AR)"
IFT27	"Bardet-Biedl综合征19型(615996,AR)"
IARS2	"白内障-生长激素缺乏-感觉神经病变-感音神经性耳聋-骨骼发育不良(616007,AR)"
SYT2	"先天性肌无力综合征7型(616040,AD)"
CENPE	"小头症13型(616051,AR)"
CCDC88C	"脊髓小脑共济失调40型(616053,AD)"
KCNB1	"婴儿早期癫痫性脑病26型(616056,AD)"
ITM2B	"视网膜营养不良伴视网膜内功能障碍和神经节细胞异常(616079,AD)"
CDK6	"小头症12型(616080,AR)"
EXOSC8	"脑桥小脑发育不全1C型(616081,AR)"
RDH11	"视网膜营养不良、青少年白内障和身材矮小综合征(616108,AR)"
NDST1	"精神发育迟滞AR46型(616116,AR)"
CWF19L1	"脊髓小脑共济失调AR17型(616127,AR)"
RARS	"低髓鞘化脑白质营养不良9型(616140,AR)"
IMPG1	"黄斑营养不良4型卵黄状(616151,AD)"
FAR1	"过氧化物酶体脂肪酰基辅酶A还原酶1障碍(616154,AR)"
PURA	"精神发育迟滞AD31型(616158,AD)"
PLK4	"小头畸形伴脉络膜视网膜病变2型(616171,AR)"
GRID2	"脊髓小脑共济失调AR18型(616204,AR)"
DCDC2	"肾单位肾痨19型(616217,AR)"
PREPL	"先天性肌无力综合征22型(616224,AR)"
ALG14	"先天性肌无力综合征15型(616227,AR)"
ALG2	"先天性肌无力综合征14型(616228,AR)"
KIF14	"Meckel综合征12型(616258,AR)"
CLPB	"3-甲基戊烯二酸尿症7型(616271,AR)"
UNC45B	"白内障43型(616279,AD)"
GPT2	"精神发育迟滞49型(616281,AR)"
CPT1C	"痉挛性截瘫73型(616282,AD)"
SLC9A1	"脊髓小脑共济失调AR19型(616291,AR)"
LRP4	"先天性肌无力综合征17型(616304,AR)"
CHRNB1	"先天性肌无力综合征2A型(616313,AD);先天性肌无力综合征2C型(616314,AR)"
CHRND	"先天性肌无力综合征3A型(616321,AD);先天性肌无力综合征3B型(616322,AR);先天性肌无力综合征3C型(616323,AR)"
MUSK	"先天性肌无力综合征9型(616325,AR)"
RAPSN	"先天性肌无力综合征11型(616326,AR)"
SNAP25	"先天性肌无力综合征18型(616330,AD)"
TUBGCP4	"小头畸形伴脉络膜视网膜病变3型(616335,AR)"
AARS	"婴儿早期癫痫性脑病29型(616339,AR)"
SIK1	"婴儿早期癫痫性脑病30型(616341,AD)"
DNM1	"婴儿早期癫痫性脑病31型(616346,AD)"
PARN	"先天性角化不良症AR6型(616353,AR)"
SNX14	"脊髓小脑共济失调AR20型(616354,AR)"
KCNA2	"婴儿早期癫痫性脑病32型(616366,AD)"
ISCA2	"多发性线粒体功能障碍综合征4型(616370,AR)"
EEF1A2	"精神发育迟滞AD38型(616393,AD);婴儿早期癫痫性脑病33型(616409,AD)"
IFT172	"视网膜色素变性71型(616394,AR)"
SASS6	"小头症14型(616402,AR)"
TRPC3	"脊髓小脑共济失调41型(616410,AD)"
PYCR2	"低髓鞘化脑白质营养不良10型(616420,AR)"
MED25	"Basel-Vanagait-Smirin-Yosef综合征(616449,AR)"
CAD	"婴儿早期癫痫性脑病50型(616457,AR)"
ZNF408	"渗出性视网膜病变6型(616468,AD);视网膜色素变性72型(616469,AR)"
RNASEH1	"进行性眼外肌麻痹AR2型(616479,AR)"
MFSD2A	"小头症15型(616486,AR)"
KIAA0586	"Joubert综合征23型(616490,AR)"
DRAM2	"视杆视锥营养不良21型(616502,AR)"
SLC25A46	"遗传性运动与感觉神经障碍6B型(616505,AR)"
LSS	"白内障44型(616509,AR)"
ATF6	"色盲全7型(616517,AR)"
ACD	"先天性角化不良症AD6型(616553,AD);先天性角化不良症AR7型(616553,AR)"
SOS2	"Noonan综合征9型(616559,AD)"
LZTR1	"Noonan综合征10型(616564,AD)"
SPATA5	"癫痫-听力损失-精神发育迟滞综合征(616577,AR)"
TRAF3IP1	"Senior-Loken综合征9型(616629,AR)"
SLC12A5	"婴儿早期癫痫性脑病34型(616645,AR)"
ITPA	"婴儿早期癫痫性脑病35型(616647,AR)"
MAG	"痉挛性截瘫75型(616680,AR)"
ANKLE2	"小头症16型(616681,AR)"
VPS11	"低髓鞘化脑白质营养不良12型(616683,AR)"
SCYL1	"脊髓小脑性共济失调AR21型(616719,AR)"
COL13A1	"先天性肌无力综合征19型(616720,AR)"
RTN4IP1	"视神经萎缩10型伴或不伴共济失调、智力低下和癫痫发作(616732,AR)"
CEP104	"Joubert综合征25型(616781,AR)"
KIAA0556	"Joubert综合征26型(616784,AR)"
CACNA1G	"脊髓小脑共济失调42型(616795,AD)"
SIPA1L3	"白内障45型(616851,AR)"
EMC1	"小脑萎缩-视觉障碍-精神运动迟缓(616875,AR)"
C11orf73	"低髓鞘化脑白质营养不良13型(616881,AR)"
CAPN1	"痉挛性截瘫76型(616907,AR)"
VWA3B	"脊髓小脑性共济失调AR22型(616948,AR)"
TDP2	"脊髓小脑性共济失调AR23型(616949,AR)"
FRRS1L	"婴儿早期癫痫性脑病37型(616981,AR)"
MME	"脊髓小脑共济失调43型(617018,AD)"
ARV1	"婴儿早期癫痫性脑病38型(617020,AR)"
AGBL5	"视网膜色素变性75型(617023,AR)"
GNB3	"先天性静止性夜盲AR1H型(617024,AR)"
TSEN15	"脑桥小脑发育不全2F型(617026,AR)"
MAFB	"Duane眼球后退综合征3型(617041,AD)"
FARS2	"痉挛性截瘫77型(617046,AR)"
AP3D1	"Hermansky-Pudlak综合征10型(617050,AR)"
GUF1	"婴儿早期癫痫性脑病40型(617065,AR)"
TK2	"进行性眼外肌麻痹AR3型(617069,AR)"
DGUOK	"进行性眼外肌麻痹AR4型(617070,AR)"
CIT	"小头症17型(617090,AR)"
SLC1A2	"婴儿早期癫痫性脑病41型(617105,AD)"
MAPKAPK3	"黄斑营养不良图形化3型(617111,AD)"
GABRB3	"婴儿早期癫痫性脑病43型(617113,AD)"
IFT74	"Bardet-Biedl综合征20型(617119,AR)"
UBA5	"婴儿早期癫痫性脑病44型(617132,AR);脊髓小脑性共济失调AR24型(617133,AR)"
ELP4	"无虹膜2型(617141,AD)"
TRIM44	"无虹膜3型(617142,AD)"
SLC5A7	"先天性肌无力综合征20型(617143,AR)"
GABRB1	"婴儿早期癫痫性脑病45型(617153,AD)"
GRIN2D	"婴儿早期癫痫性脑病46型(617162,AD)"
FGF12	"婴儿早期癫痫性脑病47型(617166,AD)"
APC2	"Sotos综合征3型(617169,AR)"
P4HA2	"近视25型(617238,AD)"
SLC18A3	"先天性肌无力综合征21型(617239,AR)"
HTRA2	"3-甲基戊烯二酸尿症8型(617248,AR)"
MAPKBP1	"肾单位肾痨20型(617271,AR)"
TEK	"青光眼原发性开角型3E型(617272,AD)"
AP3B2	"婴儿早期癫痫性脑病48型(617276,AR)"
DENND5A	"婴儿早期癫痫性脑病49型(617281,AR)"
MECR	"儿童型肌张力障碍伴视神经萎缩和基底节异常(617282,AR)"
YME1L1	"视神经萎缩11型(617302,AR)"
REEP6	"视网膜色素变性77型(617304,AR)"
CPAMD8	"眼前节发育不全8型(617319,AR)"
CASP14	"先天性鱼鳞病AR12型(617320,AR)"
KDF1	"外胚层发育不良12型，少汗/头发/牙齿/指甲型(617337,AD)"
MDH2	"婴儿早期癫痫性脑病51型(617339,AR)"
OBFC1	"伴钙化和囊变的脑视网膜微血管病2型(617341,AR)"
SCN1B	"婴儿早期癫痫性脑病52型(617350,AR)"
SYNJ1	"婴儿早期癫痫性脑病53型(617389,AR)"
HNRNPU	"婴儿早期癫痫性脑病54型(617391,AD)"
KREMEN1	"外胚层发育不良13型，头发/牙齿型(617392,AR)"
USP18	"假性TORCH综合征2型(617397,AR)"
ATP6V1E1	"皮肤松弛症AR2C型(617402,AR)"
ATP6V1A	"皮肤松弛症AR2D型(617403,AR)"
ARHGEF18	"视网膜色素变性78型(617433,AR)"
HK1	"视网膜色素变性79型(617460,AD)"
PPP1CB	"Noonan样综合征伴生长初期毛发松动2型(617506,AD)"
WDFY3	"小头症18型(617520,AD)"
DCC	"水平注视性麻痹伴进行性脊柱侧凸2型(617542,AR)"
NKX6-2	"痉挛性共济失调8型(617560,AR)"
TMEM107	"Joubert综合征29型(617562,AR);Meckel综合征13型(617562,AR)"
SULT2B1	"先天性鱼鳞病AR14型(617571,AR)"
SDR9C7	"先天性鱼鳞病AR13型(617574,AR)"
ATG5	"脊髓小脑性共济失调AR25型(617584,AR)"
PIGP	"婴儿早期癫痫性脑病55型(617599,AR)"
ARMC9	"Joubert综合征30型(617622,AR)"
P3H2	"高度近视伴白内障和玻璃体视网膜退化(614292,AR)"
COL25A1	"先天性眼外肌纤维化综合征5型(616219,AR)"
PHOX2A	"先天性眼外肌纤维化综合征2型(602078,AR)"
KIF21A	"先天性眼外肌纤维化综合征1型(135700,AD)"
TUBB3	"先天性眼外肌纤维化综合征3A型(600638,AD)"
FRMD7	"先天性眼球震颤1型(310700,XL)"
