Annova	Phenotype
GPT2	"常染色体隐性精神发育迟滞49型(616281,AR)"
GPX4	"Sedaghatian型脊椎干骺端发育不良(250220,AR)"
GRIA3	"精神发育迟滞X连锁症状性吴型(300699,XLR)"
GRID2	"常染色体隐性遗传性脊髓小脑性共济失调18型(616204,AR)"
GRIK2	"常染色体隐性精神发育迟滞6型(611092,AR)"
GRIN1	"常染色体显性精神发育迟滞8型(614254,AD)"
GRIN2A	"伴言语障碍伴或不伴智力障碍局灶性癫痫(245570,AD)"
GRIN2B	"早期幼儿癫痫性脑病27型(616139,AD);常染色体显性精神发育迟滞6型(613970,AD)"
GRIN2D	"早期幼儿癫痫性脑病46型(617162,AD)"
GRIP1	"Fraser综合征(219000,AR)"
GRM1	"常染色体隐性遗传性脊髓小脑性共济失调13型(614831,AR)"
GRN	"神经元蜡样质脂褐素沉积病11型(614706,AR);GRN相关的伴TDP43包涵体的额颞叶变性(607485,AD)"
GSC	"身材矮小，耳道闭锁，下颌发育不全和骨骼异常综合征(602471,AR)"
GSN	"芬兰型淀粉样变性(105120,AD)"
GSS	"谷胱甘肽（还原型）合成酶缺乏症(266130,AR)"
GTPBP3	"氧化磷酸化结合障碍性疾病23型(616198,AR)"
GUCY1A3	"烟雾病伴失弛缓症(615750,AR)"
GUCY2D	"Leber先天性黑矇症1型(204000,AR)"
GUF1	"婴幼儿早期癫痫性脑病40型(617065,AR)"
GUSB	"黏多糖贮积症Ⅶ型(253220,AR)"
GYG1	"糖原贮积病15型(613507,AR);葡萄糖多聚体肌病2型(616199,AR)"
GYS1	"糖原贮积病0B型，肌肉型(611556,AR)"
GYS2	"糖原贮积症0A型(240600,AR)"
H19	"B-W综合征(130650,AD)"
HABP2	"凝血酶缺乏所致易栓症(188050,AD)"
HACE1	"痉挛性截瘫并精神运动退化伴或不伴癫痫(616756,AR)"
HADHA	"LCHAD缺乏症(609016,AR);线粒体三功能蛋白质缺乏症(609015,AR)"
HADHB	"线粒体三功能蛋白质缺乏症(609015,AR)"
HADH	"3-羟酰辅酶A脱氢酶缺乏症(231530,AR);家族性高胰岛素性低血糖症4型(609975,AR)"
HAL	"组氨酸血症(235800,AD)"
HARS	"Usher综合征3B型(614504,AR)"
HAX1	"严重先天性中性粒细胞减少症3型(610738,AR)"
HBB	"镰状细胞性贫血(603903,AR)"
HCCS	"小眼畸形综合征7型(309801,XLD)"
HCFC1	"甲基丙二酸血症伴高同型半胱氨酸血症1X型(309541,XLR)"
HCN1	"早期幼儿癫痫性脑病24型(615871,AD)"
HCN4	"Brugada综合征8型(613123,AD)"
HCRT	"发作性睡病1型(161400,AD)"
HDAC6	"伴有扁平椎骨，独特的短指畸形，脑积水及小眼球的软骨发育不良症(300863,XLD)"
HDAC8	"科尼亚德兰格综合征5型(300882,XLD)"
HEPACAM	"巨颅伴皮质下海绵样囊肿性脑白质病2A型(613925,AR);巨颅伴皮质下海绵样囊肿性脑白质病2B型(613926,AD)"
HERC1	"大头畸形，面部畸形和精神运动障碍(617011,AR)"
HERC2	"常染色体隐性精神发育迟滞38型(615516,AR)"
HES7	"脊柱肋骨发育不全(613686,AR)"
HESX1	"视隔发育不良(182230,AD,AR)"
HEXA	"Tay-Sachs病(272800,AR)"
HEXB	"Sandhoff病(268800,AR)"
HFE	"阿尔茨海默病1型(104300,AD);变异性卟啉症(176200,AD)"
HGSNAT	"黏多糖贮积症Ⅲc型(252930,AR)"
HIBCH	"β-羟异丁酰-辅酶A水解酶缺乏症(250620,AR)"
C11orf73	"髓鞘形成不足性脑白质营养不良13型(616881,AR)"
HINT1	"伴肌强直的轴索神经病(137200,AR)"
HIVEP2	"常染色体显性精神发育迟滞43型(616977,AD)"
HK1	"遗传性运动感觉神经病Russe型(605285,AR)"
HLA-DQB1	"克-雅病(123400,AD)"
HLA-DRB1	"结节病1型(181000,IC)"
HLCS	"全羧化酶合成酶缺陷症(253270,AR)"
HMBS	"急性间歇性卟啉病(176000,AD)"
HMGB3	"小眼畸形综合征13型(300915,XL)"
HMGCL	"3-羟-3-甲基戊二酰辅酶A裂解酶缺乏症(246450,AR)"
HNMT	"常染色体隐性精神发育迟滞51型(616739,AR)"
HNRNPA1	"肌萎缩侧索硬化症20型(615426,AD);多系统蛋白病3型(615424,AD)"
HNRNPDL	"肢带型肌营养不良1G型(609115,AD)"
HNRNPK	"Au-Kline 综合征(616580,AD)"
HNRNPU	"早期幼儿癫痫性脑病54型(617391,AD)"
HNRNPA2B1	"多系统蛋白病2型(615422,AD)"
HOXB1	"先天遗传性面瘫3型(614744,AR)"
HPCA	"肌张力障碍2型(224500,AR)"
HPD	"酪氨酸血症3型(276710,AR)"
HPRT1	"Kelley-Seegmiller综合征(300323,XLR);莱施-尼汉综合征(300322,XLR)"
HRAS	"Costello综合征(218040,AD,IC)"
HS6ST1	"低促性腺激素性性腺功能减退症15型(614880,AD)"
HSD17B10	"精神发育迟滞X连锁综合征10型(300438,XLD)"
HSD17B4	"D-双功能蛋白缺乏(261515,AR);佩罗特综合征1型(233400,AR)"
HSPB1	"轴突性腓骨肌萎缩症2F型(606595,AD);远端型遗传性运动性神经元病2B型(608634,AD)"
HSPB3	"远端型遗传性运动性神经元病2C型(613376,AD)"
HSPB8	"轴突性腓骨肌萎缩症2L型(608673,AD);远端型遗传性运动性神经元病2A型(158590,AD)"
HSPD1	"髓鞘形成不足性脑白质营养不良4型(612233,AR);痉挛性截瘫13型(605280,AD)"
HSPG2	"Schwartz-Jampel综合征1型(255800,AR)"
HTR1A	"月经周期相关性周期热(614674,AD)"
HTRA1	"伴皮质下梗死和脑白质病的常染色体隐性遗传性脑动脉病(600142,AR)"
HTRA2	"遗传性帕金森病13型(610297,AD)"
HTT	"亨廷顿病(143100,AD)"
HUWE1	"X连锁智力低下综合征Turner型(300706,XL)"
HYLS1	"水致死综合征1型(236680,AR)"
IARS2	"白内障，生长激素缺乏，感觉神经病变，感觉神经性耳聋伴骨骼发育不良症(616007,AR)"
IBA57	"线粒体多功能失调综合征3型(615330,AR);痉挛性截瘫74型(616451,AR)"
ICK	"内分泌-颅脑骨发育不良(612651,AR)"
ICR1	"B-W综合征(130650,AD)"
IDH1	"神经胶质瘤易感性1型(137800,AD,SMu)"
IDH2	"D-2-羟基戊二酸尿症2型(613657,AD)"
IDS	"黏多糖贮积症Ⅱ型(309900,XLR)"
IDUA	"Hurler综合征（黏多糖病IH型）(607014,AR);Hurler-Scheie综合征(607015,AR);Scheie综合征(607016,AR)"
IER3IP1	"小头畸形伴癫痫和糖尿病(614231,AR)"
IFIH1	"Aicardi-Goutieres 综合征7型(615846,AD)"
IFNG	"结节性硬化症2型(613254,AD)"
IFT122	"颅骨外胚层发育不良1型(218330,AR)"
IFT140	"伴或不伴多趾，短肋，胸廓发育不良9型(266920,AR)"
IFT172	"伴或不伴多趾，短肋，胸廓发育不良10型(615630,AR)"
IFT43	"颅骨外胚层发育不良3型(614099,AR)"
IGBP1	"伴智力低下，眼部组织缺损和小颌畸形的胼胝体发育障碍(300472,XLR)"
IGF1	"胰岛素样生长因子1缺乏症(608747,AR)"
IGF1R	"胰岛素样生长因子1抵抗(270450,AD,AR)"
IGHMBP2	"轴突性腓骨肌萎缩症2S型(616155,AR);遗传性远端脊肌萎缩症1型(604320,AR)"
IGLL1	"丙种球蛋白缺乏血症2型(613500,AR)"
IHH	"肢端-股骨头发育不良(607778,AR)"
IKBKAP	"遗传性感觉和自主神经性神经病3型(223900,AR)"
IKBKG	"色素失禁症(308300,XLD)"
IL1RAPL1	"X连锁智力低下21型(300143,XLR)"
IL1RN	"多发无菌性骨髓炎伴骨膜炎和脓疱病(612852,AR)"
IL2RG	"重度联合免疫缺陷X型(300400,XLR)"
IL6	"脑动静脉畸形(108010,AD)"
IMPA1	"常染色体隐性精神发育迟滞59型(617323,AR)"
INF2	"腓骨肌萎缩症显性中间E型(614455,AD)"
INPP5E	"Joubert综合征1型(213300,AR);精神发育迟滞，躯干肥胖，视网膜营养不良和小阴茎综合征(610156,AR)"
INPPL1	"骨成熟不良(258480,AR)"
INS	"新生儿永久性糖尿病(606176,AD)"
INSR	"家族性高胰岛素性低血糖症5型(609968,AD);松果体增生伴胰岛素抵抗的糖尿病伴躯体异常(262190,AR)"
IQSEC2	"X连锁智力低下1型(309530,XLD)"
IRF3	"单纯疱疹性脑炎7型(616532,AD)"
IRX5	"Hamamy综合征(611174,AR)"
ISCA1	"线粒体多功能失调综合征5型(617613,AR)"
ISCA2	"线粒体多功能失调综合征4型(616370,AR)"
ISCU	"遗传性肌病伴乳酸性酸中毒(255125,AR)"
ISPD	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A7型(614643,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C7型(616052,AR)"
ITCH	"自身免疫病和多系统综合征(613385,AR)"
ITGA2B	"血小板无力症(273800,AR)"
ITGA7	"ITGA7缺乏性先天性肌营养不良(613204,AR)"
ITGB3	"血小板无力症(273800,AR)"
ITM2B	"ITM2B相关性脑淀粉样血管病1型(176500,AD);ITM2B相关性脑淀粉样血管病2型(117300,AD)"
ITPA	"早期幼儿癫痫性脑病35型(616647,AR)"
ITPR1	"无虹膜性小脑共济失调伴精神障碍(206700,AD,AR);脊髓小脑性共济失调15型(606658,AD);脊髓小脑性共济失调29型(117360,AD)"
IVD	"异戊酸血症(243500,AR)"
IYD	"甲状腺内分泌障碍4型(274800,AR)"
JAG1	"动脉-肝脏发育不良综合征(118450,AD)"
JAK2	"家族性红细胞增多症1型(133100,SMu)"
JAK3	"重度联合免疫缺陷T-B+NK-型(600802,AR)"
JAM3	"脑出血破坏性病变，室管膜下钙化和白内障(613730,AR)"
JPH1	"轴突性腓骨肌萎缩症2K型(607831,AD,AR)"
JPH2	"肥厚型心肌病17型(613873,AD)"
JPH3	"类亨廷顿病2型(606438,AD)"
ANOS1	"低促性腺激素性性腺功能减退症1型伴或不伴嗅觉丧失(308700,XLR)"
KANSL1	"Koolen-de Vries综合征(610443,AD)"
KARS	"腓骨肌萎缩症隐性中间B型(613641,AR)"
KAT6A	"常染色体显性精神发育迟滞32型(616268,AD)"
KAT6B	"生殖器-髌骨综合征(606170,AD);SBBYSS综合征(603736,AD)"
KATNB1	"无脑回畸形综合征6型(616212,AR)"
KIAA0556	"Joubert综合征26型(616784,AR)"
KBTBD13	"线状体肌病6型(609273,AD)"
KCNA1	"发作性共济失调1型(160120,AD)"
KCNA2	"早期幼儿癫痫性脑病32型(616366,AD)"
KCNB1	"早期幼儿癫痫性脑病26型(616056,AD)"
KCNC1	"进行性肌阵挛癫痫7型(616187,AD)"
KCNC3	"脊髓小脑性共济失调13型(605259,AD)"
KCND3	"Brugada综合征9型(616399,AD);脊髓小脑性共济失调19型(607346,AD)"
KCNE3	"Brugada综合征6型(613119,AD)"
KCNH1	"Temple-Baraitser综合征(611816,AD);Zimmermann-Laband综合征1型(135500,AD)"
KCNJ1	"产前巴特综合征2型(241200,AR)"
KCNJ10	"癱痫，神经性耳聋，共济失调精神发育迟滞和电解质失衡综合征(612780,AR)"
KCNJ11	"新生儿永久性糖尿病(606176,AD)"
KCNJ18	"甲亢周期性麻痹2型(613239,IC)"
KCNJ2	"Andersen-Tawil 综合征(170390,AD)"
KCNK9	"Birk-Barel综合征(612292,AD)"
KCNMA1	"全面性癫痫合并阵发性运动障碍(609446,AD)"
KCNQ1OT1	"B-W综合征(130650,AD)"
KCNQ2	"早期幼儿癫痫性脑病7型(613720,AD);良性家族性新生儿惊厥1型(121200,AD)"
KCNQ3	"良性家族性新生儿惊厥2型(121201,AD)"
KCNQ5	"常染色体显性精神发育迟滞46型(617601,AD)"
KCNT1	"夜间额叶癫痫5型(615005,AD);早期幼儿癫痫性脑病14型(614959,AD)"
KCTD17	"肌张力障碍26型(616398,AD)"
KCTD7	"进行性肌阵挛癫痫3型(611726,AR)"
KDM1A	"腭裂，精神运动迟滞和面部独特特征综合征(616728,AD)"
KDM5C	"精神发育迟滞X连锁染色体症状性克莱斯-延森型(300534,XLR)"
KDM6A	"歌舞伎综合征2型(300867,XLD)"
AUTS2	"常染色体显性精神发育迟滞26型(615834,AD)"
KIAA0586	"Joubert综合征23型(616490,AR);短肋骨胸部发育不良14型伴多指趾畸形(616546,AR)"
KIAA0753	"口-面-指综合征15型(617127,AR)"
KIAA1279	"Goldberg-Shprintzen综合征(609460,AR)"
KIAA2022	"X连锁智力低下98型(300912,XLR)"
KIF11	"小头畸形伴淋巴水肿或智力低下，伴或不伴视网膜，脉络膜病(152950,AD)"
KIF14	"内脏囊肿，脑发育不良综合征12型(616258,AR)"
KIF1A	"常染色体显性精神发育迟滞9型(614255,AD);遗传性感觉和自主神经性神经病2C型(614213,AR);痉挛性截瘫30型(610357,AR)"
KIF1B	"腓骨肌萎缩症2A1型(118210,AD);神经母细胞瘤(256700,IC,?AD)"
KIF1C	"遗传性痉挛性共济失调2型(611302,AR)"
KIF21A	"先天性眼外肌纤维化综合征1型(135700,AD)"
KIF22	"脊椎干骺端发育不良伴关节松弛2型(603546,AD)"
KIF2A	"复杂性皮质发育不良伴其他脑部畸形3型(615411,AD)"
KIF5A	"痉挛性截瘫10型(604187,AD)"
KIF5C	"复杂性皮质发育不良伴其他脑部畸形2型(615282,AD)"
KIF7	"Acrocallosal 综合征(200990,AR);水致死综合征2型(614120,AR)"
KIRREL3	"常染色体显性精神发育迟滞4型(612581,AD)"
KLC2	"痉挛性截瘫伴视神经萎缩和神经病变(609541,AR)"
KLHL40	"线状体肌病8型(615348,AR)"
KLHL41	"线状体肌病9型(615731,AR)"
KLHL7	"低温诱导出汗综合征3型(617055,AR)"
KMT2A	"肘部多毛，身材矮小，面部畸形，发育迟缓综合征(605130,AD)"
KMT2B	"肌张力障碍28型(617284,AD)"
KMT2D	"歌舞伎综合征1型(147920,AD)"
CASC5	"小头畸形4型(604321,AR)"
KPTN	"常染色体隐性精神发育迟滞41型(615637,AR)"
KRAS	"心面皮肤综合征2型(615278,AD);努南综合征3型(609942,AD)"
KRT18	"家族性肝硬化(215600,AR)"
KRT8	"家族性肝硬化(215600,AR)"
KRT85	"外胚层发育不良4型，毛发/指（趾）甲型(602032,AR)"
KY	"肌原纤维肌病7型(617114,AR)"
L1CAM	"X连锁的胼胝体部分发育不全(304100,XLR);由中脑导水管先天性狭窄导致的脑水肿(307000,XLR);马萨综合征(303350,XLR)"
L2HGDH	"L-2-羟基戊二酸尿症(236792,AR)"
LAMA1	"Poretti-Boltshauser综合征(615960,AR)"
LAMA2	"先天性肌营养不良1A型(607855,AR)"
LAMA4	"扩张型心肌病1JJ型(615235,AD)"
LAMB1	"无脑回畸形综合征5型(615191,AR)"
LAMB2	"皮尔森综合征(609049,AR)"
LAMC3	"枕叶皮质畸形(614115,AR)"
LAMP2	"Danon病(300257,XLD)"
LARGE	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A6型(613154,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B6型(608840,AR)"
LARP7	"Alazami 综合征(615071,AR)"
LAS1L	"Wilson-Tumer X连锁精神发育迟滞综合征(309585,XLR)"
LBR	"佩尔杰异常症(169400,AD)"
LDB3	"扩张型心肌病1C型(601493,AD);肌原纤维肌病4型(609452,AD)"
LDHA	"糖原贮积病11型(612933,AR)"
LGI1	"家族性颞叶癫痫1型(600512,AD)"
LHX3	"联合垂体激素缺乏症3型(221750,AR)"
LHX4	"联合垂体激素缺乏症4型(262700,AD)"
LIAS	"丙酮酸脱氢酶复合体缺乏症LD型(614462,AR)"
LIFR	"Stuve-Wiedemann综合征(601559,AR)"
LIG4	"多发性骨髓瘤(254500,SMu)"
LIMS2	"肢带型肌营养不良2W型(616827,AR)"
LINS1	"常染色体隐性精神发育迟滞27型(614340,AR)"
LIPE	"家族遗传性局部脂肪代谢障碍6型(615980,AR)"
LITAF	"腓骨肌萎缩症1C型(601098,AD)"
LMAN2L	"常染色体隐性精神发育迟滞52型(616887,AR)"
LMBRD1	"甲基丙二酸尿症合并高胱氨酸尿症(cblF型）(277380,AR)"
LMNA	"扩张型心肌病1A型(115200,AD);腓骨肌萎缩症2B1型(605588,AR);常染色体显性Emery-Dreifuss肌营养不良2型 (181350,AD);常染色体隐性Emery-Dreifuss肌营养不良3型 (616516,AR);心-手综合征(610140,AD);Hutchinson-Gilford早衰综合征(176670,AD,AR);家族遗传性局部脂肪代谢障碍2型(151660,AD);伴高水平促性腺激素性功能减退的心肌扩张症(212112,AD);LMNA相关性先天性肌营养不良(613205,AD);肢带型肌营养不良1B型(159001,AD)"
LMNB1	"常染色体显性遗传成人型脱髓鞘性脑白质营养不良(169500,AD)"
LMNB2	"进行性肌阵挛癫痫9型(616540,AR)"
LMOD3	"线状体肌病10型(616165,AR)"
LMX1B	"甲髌综合征(161200,AD)"
LPIN1	"急性复发性肌红蛋白尿(268200,AR)"
LRP2	"Donnai-Barrow综合征(222448,AR)"
LRP4	"先天性肌无力综合征17型(616304,AR);硬化性骨化病2型 (614305,AD,AR)"
LRP5	"骨硬化症A1型(607634,AD);骨质疏松-假性胶质瘤综合征(259770,AR)"
LRPPRC	"Leigh综合征法裔加拿大型(220111,AR)"
LRRK2	"遗传性帕金森病8型(607060,AD)"
LRSAM1	"轴突性腓骨肌萎缩症2P型(614436,AD,AR)"
LTA	"麻风4型(610988,)"
LYRM4	"氧化磷酸化结合障碍性疾病19型(615595,AR)"
LYRM7	"线粒体复合物Ⅲ缺陷症N8型(615838,AR)"
LYST	"先天性白细胞颗粒异常综合征(214500,AR)"
LYZ	"家族性内脏淀粉样变性(105200,AD)"
LZTR1	"努南综合征10型(616564,AD);神经鞘瘤2型(615670,AD)"
MAF	"Ayme-Gripp综合征(601088,AD)"
MAFB	"眼球后退综合征3型(617041,AD)"
MAG	"痉挛性截瘫75型(616680,AR)"
MAGEL2	"普瑞德-威利样综合征(615547,AD)"
MAN1B1	"常染色体隐性精神发育迟滞15型(614202,AR)"
MAN2B1	"甘露糖苷贮积症A型(248500,AR)"
MANBA	"甘露糖苷贮积症B型(248510,AR)"
MAOA	"布伦纳综合征(300615,XLR)"
MAP2K1	"心面皮肤综合征3型(615279,AD)"
MAP2K2	"心面皮肤综合征4型(615280,AD)"
MAP3K7	"额干骺端发育不良症2型(617137,AD)"
MAPT	"额颞叶痴呆(600274,AD);Pick病(172700,AD,IC);进行性核上性眼肌麻痹(601104,AD);帕金森-痴呆综合征(260540,AR)"
MARS	"轴突性腓骨肌萎缩症2U型(616280,AD)"
MARS2	"氧化磷酸化结合障碍性疾病25型(616430,AR);遗传性痉挛性共济失调3型(611390,AR)"
MASP1	"3MC综合征1型(257920,AR)"
MAT1A	"甲硫氨酸腺苷转移酶缺乏症(250850,AD,AR)"
MATR3	"肌萎缩侧索硬化症21型(606070,AD)"
MBD5	"常染色体显性精神发育迟滞1型(156200,AD)"
MBOAT7	"常染色体隐性精神发育迟滞57型(617188,AR)"
MBTPS2	"IFAP综合征伴或不伴Bresheck综合征(308205,XLR)"
MC2R	"糖皮质激素缺乏或家族性糖皮质激素缺乏1型(202200,AR)"
MCCC1	"3-甲基巴豆酰辅酶A羧化酶缺乏症1型(210200,AR)"
MCCC2	"3-甲基巴豆酞辅酶A羧化酶缺乏症2型(210210,AR)"
MCM4	"自然杀伤细胞糖皮质激素缺乏和DNA修复缺陷病(609981,AR)"
MCOLN1	"黏脂质贮积症Ⅳ型(252650,AR)"
MCPH1	"小头畸形1型(251200,AR)"
MDH2	"早期幼儿癫痫性脑病51型(617339,AR)"
MECP2	"X连锁孤独症3型(300496,XL,IC,Mu);Rett综合征(300673,XLR);X连锁智力低下综合征Lubs型(300260,XLR);精神发育迟滞X连锁综合征13型(300055,XLR);雷特综合征(312750,XLD)"
MED12	"Lujan-Fryns综合征(309520,XLR);睑裂狭小-智力低下综合征(300895,XLR);Opitz-Kaveggia 综合征(305450,XLR)"
MED13L	"智力发育迟滞和独特面部特征，伴或不伴心脏缺陷(616789,AD)"
MED17	"出生后进展性小头畸形伴癫痫和脑萎缩(613668,AR)"
MED23	"常染色体隐性精神发育迟滞18型(614249,AR)"
MED25	"Basel-Vanagaite-Smirin-Yosef 综合征(616449,AR);腓骨肌萎缩症2B2型(605589,AR)"
MEF2C	"常染色体显性精神发育迟滞20型(613443,AD)"
MEFV	"家族性地中海热(249100,AR)"
MEGF10	"早发型肌病，反射消失，呼吸困难及吞咽困难(614399,AR)"
MEGF8	"卡朋特综合征2型(614976,AR)"
METTL23	"常染色体隐性精神发育迟滞44型(615942,AR)"
MFN2	"轴突性腓骨肌萎缩症2A2型(609260,AD);遗传性运动感觉神经病6A型(601152,AD)"
MFSD2A	"常染色体隐性先天性小头畸形15型(616486,AR)"
MFSD8	"神经元蜡样质脂褐素沉积病7型(610951,AR)"
MGAT2	"先天性糖基化障碍2A型(212066,AR)"
MGME1	"线粒体DNA消耗综合征11型(615084,AR)"
MGP	"Keutel综合征(245150,AR)"
MICU1	"肌病伴椎体外束症候(615673,AR)"
MID1	"X连锁Opitz GBBB综合征(300000,XLR)"
MID2	"X 连锁精神发育迟滞101型(300928,XLR)"
MIPEP	"氧化磷酸化结合障碍性疾病31型(617228,AR)"
MIR17HG	"FS综合征2型(614326,AD)"
MKS1	"Joubert综合征28型(617121,AR);内脏囊肿，脑发育不良综合征1型(249000,AR)"
MLC1	"巨颅伴皮质下海绵样囊肿性脑白质病1型(604004,AR)"
MLH1	"错配修复肿瘤综合征(276300,AR)"
MLPH	"格里西综合征3型(609227,AR)"
MLYCD	"丙二酰辅酶A脱羧酶缺乏症(248360,AR)"
MMAA	"甲基丙二酸血症1A型(251100,AR)"
MMAB	"甲基丙二酸血症1B型(251110,AR)"
MMACHC	"甲基丙二酸血症伴高同型半胱氨酸血症1C型(277400,AR)"
MME	"轴突性腓骨肌萎缩症2T型(617017,AD,?AR);脊髓小脑性共济失调43型(617018,AD)"
MN1	"脑膜瘤(607174,AD)"
MNX1	"Currarino综合征(176450,AD)"
MOCS1	"遗传性钼缺乏症，互补群A(252150,AR)"
MOCS2	"遗传性钼缺乏症，互补群B(252160,AR)"
MOG	"发作性睡病7型(614250,AD)"
MOGS	"先天性糖基化障碍2B型(606056,AR)"
MORC2	"轴突性腓骨肌萎缩症2Z型(616688,AD)"
MPDU1	"先天性糖基化障碍1F型(609180,AR)"
MPI	"先天性糖基化障碍1B型(602579,AR)"
MPL	"先天性无巨核细胞血小板减少症(604498,AR)"
MPLKIP	"非光过敏性毛发低硫营养不良1型(234050,AR)"
MPO	"阿尔茨海默病1型(104300,AD)"
MPV17	"线粒体DNA消耗综合征6型(256810,AR)"
MPZ	"腓骨肌萎缩症显性中间D型(607791,AD);腓骨肌萎缩症1B型(118200,AD);腓骨肌萎缩症2I型(607677,AD);腓骨肌萎缩症2J型(607736,AD);Dejerine-Sottas综合征(145900,AD,AR);先天性低髓鞘或无髓鞘神经病(605253,AD,AR);腓骨肌萎缩型共济失调(180800,AD)"
MR1	"发作性非运动诱发性运动障碍1型(118800,AD)"
MRE11A	"类共济失调毛细血管扩张症1型(604391,AR)"
MRPL3	"氧化磷酸化结合障碍性疾病9型(614582,AR)"
MRPS16	"氧化磷酸化结合障碍性疾病2型(610498,AR)"
MRPS22	"氧化磷酸化结合障碍性疾病5型(611719,AR)"
MSH2	"错配修复肿瘤综合征(276300,AR)"
MSH6	"错配修复肿瘤综合征(276300,AR)"
MSX2	"狭颅症2型(604757,AD);顶骨孔(168500,AD)"
MTFMT	"氧化磷酸化结合障碍性疾病15型(614947,AR)"
MTHFR	"N（5,10）-亚甲基四氢叶酸还原酶活性缺乏所致的高胱氨酸尿症/亚甲基四氢叶酸还原酶缺乏症(236250,AR);凝血酶缺乏所致易栓症(188050,AD)"
MTM1	"X连锁遗传中央核肌病(310400,XLR)"
MTMR14	"中央核肌病1型(160150,AD)"
MTMR2	"腓骨肌萎缩症4B1型(601382,AR)"
MTO1	"氧化磷酸化结合障碍性疾病10型(614702,AR)"
MTOR	"局灶性皮质发育不良(607341,SMu);Smith-Kingsmore 综合征(616638,AD)"
MTTP	"无β脂蛋白血症(200100,AR)"
MTPAP	"遗传性痉挛性共济失调4型(613672,AR)"
MTR	"高胱氨酸尿症-巨红细胞性贫血G型(250940,AR)"
MTRR	"高胱氨酸尿症-巨红细胞性贫血E型(236270,AR)"
MUSK	"胎儿运动功能丧失变型序列(208150,AR);先天性肌无力综合征9型(616325,AR)"
MUT	"甲基丙二酸单酰辅酶A变位酶缺乏引起的甲基丙二酸尿症(251000,AR)"
MVK	"甲羟戊酸尿症(610377,AR)"
MYBPC1	"远端关节挛缩症1B型(614335,AD);致死性先天挛缩综合征4型(614915,AR)"
MYBPC3	"扩张型心肌病1MM型(615396,AD);肥厚型心肌病4型(115197,AD)"
MYCN	"FS综合征1型(164280,AD)"
MYF6	"中央核肌病3型(614408,AD)"
MYH11	"家族性胸主动脉瘤4型(132900,AD)"
MYH14	"伴声嘶，耳聋的周围神经病及肌病(614369,AD)"
MYH2	"近端肌病和眼肌麻痹(605637,AD,AR)"
MYH3	"远端关节挛缩症2B型(601680,AD);远端关节挛缩症8型(178110,AD);远端关节挛缩症2A型(193700,AD)"
MYH6	"扩张型心肌病1EE型(613252,AD);肥厚型心肌病14型(613251,AD)"
MYH7	"扩张型心肌病1S型(613426,AD);家族性肥厚型心肌病1型(192600,AD);远端型肌病 Laing型(160500,AD);肌球蛋白贮积型肌病 常染色体显性遗传(608358,AD);肌球蛋白贮积型肌病 常染色体隐性遗传(255160,AR);肌病型肩腓肌综合征(181430,AD)"
MYH8	"远端关节挛缩症7型(158300,AD)"
MYL2	"肥厚型心肌病10型(608758,AD)"
MYL3	"肥厚型心肌病8型(608751,AD)"
MYLK2	"家族性肥厚型心肌病1型(192600,AD)"
MYO18B	"Klippel-Feil综合征4型(616549,AR)"
MYO5A	"Elejalde病(256710,AR);格里希综合征1型(214450,AR)"
MYO7A	"耳聋A11型(601317,AD);耳聋B2型(600060,AR);Usher综合征1B型(276900,AR)"
MYOT	"肢带型肌营养不良1A型(159000,AD);肌原纤维肌病3型(609200,AD);球状体肌病(182920,AD)"
MYOZ2	"肥厚型心肌病16型(613838,AD)"
MYPN	"扩张型心肌病1KK型(615248,AD);线状体肌病11型(617336,AR)"
MYT1L	"常染色体显性精神发育迟滞39型(616521,AD)"
NAA10	"小眼畸形综合征1型(309800,XL);Ogden综合征(300855,XLD,XLR)"
NAGA	"神崎病(609242,AR);Schindler病1型(609241,AR)"
NAGLU	"轴突性腓骨肌萎缩症2V型(616491,AD);黏多糖贮积症Ⅲb型(252920,AR)"
NAGS	"N-乙酰谷氨酸合成酶缺乏症(237310,AR)"
NALCN	"婴儿肌张力减低伴精神运动发育迟滞和特殊面容综合征(615419,AR)"
NARS2	"氧化磷酸化结合障碍性疾病24型(616239,AR)"
NBAS	"身材矮小，视神经萎缩和佩-休异常综合征(614800,AR)"
NBN	"Nijmegen破损综合征(251260,AR)"
NDE1	"无脑回畸形综合征4型(614019,AR);积水性无脑伴小头畸形症(605013,AR)"
NDN	"Prader-Willi综合征(176270,IC)"
NDP	"诺里病(310600,XLR)"
NDRG1	"腓骨肌萎缩症4D型(601455,AR)"
NDST1	"常染色体隐性精神发育迟滞46型(616116,AR)"
NDUFA1	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFA10	"亚急性坏死性脑脊髓病(256000,AR,Mi)"
NDUFA11	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFA12	"Leigh综合征(256000,AR,Mi)"
NDUFA2	"Leigh综合征(256000,AR,Mi)"
NDUFA9	"Leigh综合征(256000,AR,Mi)"
